Country,Code,CO2Emissions,YearlyChange,Population,LifeExpectancy
Netherlands,NLD,163419285,1.63,16981295,81.862
New Caledonia,NCL,2338717,7.22,274191,77.014
New Zealand,NZL,33276202,-0.14,4659265,81.859
Nicaragua,NIC,5325447,1.86,6303974,73.86
Niger,NER,2088475,0.15,20788798,61.137
Nigeria,NGA,82634214,0.7,185960241,53.541
North Korea,PRK,58708734,19.49,25307665,71.711
North Macedonia,MKD,8896732,1.62,2080743,75.498
Norway,NOR,43456012,0.85,5250949,82.029
Oman,OMN,87835773,2.09,4479219,77.142
Pakistan,PAK,178013820,9.13,203631353,66.77
Palau,PLW,41732,7.19,17725,73.089
Panama,PAN,11599764,2.37,4037078,77.964
Papua New Guinea,PNG,9086988,7.09,8271762,63.744
Paraguay,PRY,5998469,1.97,6777872,73.836
Peru,PER,57692879,8.16,30926032,76.044
Philippines,PHL,126922662,12.37,103663816,70.802
Poland,POL,296659670,2.67,37989220,78.11
Portugal,PRT,50142844,-2.36,10325538,81.444
Puerto Rico,PRI,712758,1.71,3283125,79.664
Qatar,QAT,98990085,1.79,2654374,79.868
Reunion,REU,1132331,3.55,869743,79.899
Romania,ROU,78770824,1.69,19796285,75.644
Russia,RUS,1661899300,-2.13,145275383,71.835
Rwanda,RWA,1403087,2.88,11668827,67.93
Saint Helena,SHN,13128,2.62,5956,80.251
Saint Kitts & Nevis,KNA,203036,1.51,51625,75.73
Saint Lucia,LCA,608182,1.51,180024,75.752
Saint Pierre & Miquelon,SPM,8842,1.51,5934,80.654
Saint Vincent and the Grenadines,VCT,362414,1.51,109459,72.193
Samoa,WSM,169939,7.18,194535,72.895
Sao Tome & Principe,STP,56185,2.6,203227,69.67
Saudi Arabia,SAU,517079407,0.92,32443447,74.761
Senegal,SEN,8247295,3.69,14993519,67.078
Serbia,SRB,41168059,2.27,8853963,75.505
Seychelles,SYC,519693,2.62,95710,73.226
Sierra Leone,SLE,1272332,3.43,7328834,53.444
Singapore,SGP,48381759,2.56,5653634,83.083
Slovakia,SVK,36817242,1.74,5442003,77.034
Slovenia,SVN,14722601,2.35,2074210,80.852
Solomon Islands,SLB,341748,7.18,619438,72.424
Somalia,SOM,1268442,2.57,14185636,56.324
South Africa,ZAF,390557850,-0.49,56207646,63.153
South Korea,KOR,604043830,0.45,50983457,82.379
South Sudan,SSD,4038496,4.18,10832518,57.12
Spain,ESP,251892320,-3.12,46634140,83.145
Sri Lanka,LKA,18454691,8.55,21021171,76.482
Sudan,SDN,13294106,4.18,39847439,64.663
Suriname,SUR,2152933,0.32,564888,71.358
Sweden,SWE,44694415,4.33,9836007,82.382
Switzerland,CHE,39666930,-2.3,8379917,83.31
Syria,SYR,38054696,1.78,17465575,70.315
Taiwan,TWN,276724868,1.91,23618200,79.927
Tajikistan,TJK,6049757,3.37,8663579,70.397
Tanzania,TZA,9731560,2.5,53049230,63.844
Thailand,THA,271040160,1.55,68971308,76.403
Timor-Leste,TLS,495687,4.63,1219288,68.735
Togo,TGO,2321546,5.47,7509951,60.22
Tonga,TON,251375,7.19,101133,70.607
Trinidad and Tobago,TTO,34974263,-5.92,1377560,73.1
Tunisia,TUN,29395965,0.82,11303945,76.115
Turkey,TUR,368122740,5.25,79827871,76.86
Turkmenistan,TKM,79279216,0.63,5662368,67.835
Turks and Caicos,TCA,65451,1.52,36559,79.732
Uganda,UGA,5009493,3.82,39649166,61.986
Ukraine,UKR,233220080,8.03,44713702,71.711
United Arab Emirates,ARE,218788684,4.43,9360980,77.47
United Kingdom,GBR,367860350,-6.38,66297944,81.111
United States,USA,5011686600,-2.01,323015995,78.885
Uruguay,URY,6508013,1.91,3424129,77.498
Uzbekistan,UZB,109347340,1.6,31441751,71.171
Vanuatu,VUT,137706,7.18,278330,70.021
Venezuela,VEN,175884256,-1.9,29851255,72.405
Vietnam,VNM,206042140,0.09,93640422,75.172
Western Sahara,ESH,207592,2.61,538749,69.496
Yemen,YEM,25647990,1.62,27168208,66.087
Zambia,ZMB,4230584,3.67,16363458,62.464
Zimbabwe,ZWE,10062628,-4.17,14030331,60.294
